City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,mount isa,-20.7333,139.5,24.87,27,20,4.12,AU,1726414530
250,benjamin constant,-4.3831,-70.0311,32.03,62,20,2.57,BR,1726414532
251,saint-mandrier-sur-mer,43.078,5.929,22.84,55,0,2.06,FR,1726414533
252,kruisfontein,-34.0033,24.7314,14.39,82,34,4.94,ZA,1726414535
253,saint-philippe,-21.3585,55.7679,19.68,69,54,6.61,RE,1726414536
254,nairn,57.5809,-3.8797,11.35,90,75,2.57,GB,1726414537
255,ixtapa,20.7,-105.2,27.57,83,40,1.34,MX,1726414538
256,maragogi,-9.0122,-35.2225,26.69,68,1,6.25,BR,1726414539
257,jiujiang,29.7333,115.9833,25.94,83,19,7.01,CN,1726414540
258,sorong,-0.8833,131.25,26.12,87,100,4.45,ID,1726414542
259,borogontsy,62.6683,131.1683,-0.87,85,2,1.91,RU,1726414543
260,port saint john's,-31.6229,29.5448,20.51,84,38,3.26,ZA,1726414453
261,linghai,41.1653,121.3667,15.33,66,100,0.73,CN,1726414546
262,trstenik,43.6169,21.0025,10.16,92,100,2.16,RS,1726414548
263,thakhek,17.4103,104.8307,24.06,96,99,1.45,LA,1726414549
264,porto murtinho,-21.6989,-57.8825,21.34,63,90,3.3,BR,1726414550
265,safford,32.834,-109.7076,27.08,47,20,1.54,US,1726414551
266,brookings,44.3114,-96.7984,21.65,80,0,4.63,US,1726414552
267,harper,4.375,-7.7169,25.27,74,78,3.34,LR,1726414554
268,sola,-13.8833,167.55,25.51,86,79,6.4,VU,1726414555
269,kataba,8.4604,-0.7732,29.67,67,88,1.81,GH,1726414556
270,ishigaki,24.3448,124.1572,30.07,84,75,3.6,JP,1726414557
271,yatou,37.15,122.3833,18.68,87,0,2.02,CN,1726414558
272,coquimbo,-29.9533,-71.3436,11.85,93,100,2.06,CL,1726414299
273,apatzingan,19.0833,-102.35,25.47,92,100,0.53,MX,1726414562
274,veracruz,19.3333,-96.6667,28.08,75,85,1.19,MX,1726414477
275,axim,4.8699,-2.2405,25.17,80,100,5.26,GH,1726414565
276,bengkulu,-3.8004,102.2655,24.46,88,77,1.88,ID,1726414567
277,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,87,75,1.0,RU,1726414568
278,akureyri,65.6835,-18.0878,6.96,65,20,5.66,IS,1726414569
279,tuensang,26.2833,94.8333,20.28,98,100,1.3,IN,1726414570
280,pekan,3.4836,103.3996,25.0,91,99,1.83,MY,1726414571
281,hinton,53.4001,-117.5857,10.52,78,99,1.41,CA,1726414573
282,margaret river,-33.95,115.0667,11.5,71,0,4.63,AU,1726414574
283,chegdomyn,51.1167,133.0167,5.89,71,10,1.62,RU,1726414575
284,mbake,14.7903,-15.908,31.67,58,100,1.61,SN,1726414576
285,fortaleza,-3.7227,-38.5247,29.96,70,20,9.77,BR,1726414361
